text,emotion
back,angry
bar,angry
base,angry
bath,angry
bean,angry
beg,angry
bite,angry
boat,angry
bone,angry
book,angry
bought,angry
burn,angry
cab,angry
calm,angry
came,angry
cause,angry
chain,angry
chair,angry
chalk,angry
chat,angry
check,angry
cheek,angry
chief,angry
choice,angry
cool,angry
dab,angry
date,angry
dead,angry
death,angry
deep,angry
dime,angry
dip,angry
ditch,angry
dodge,angry
dog,angry
doll,angry
door,angry
fail,angry
fall,angry
far,angry
fat,angry
fit,angry
five,angry
food,angry
gap,angry
gas,angry
gaze,angry
germ,angry
get,angry
gin,angry
goal,angry
good,angry
goose,angry
gun,angry
half,angry
hall,angry
hash,angry
hate,angry
have,angry
haze,angry
hire,angry
hit,angry
hole,angry
home,angry
hurl,angry
hush,angry
jail,angry
jar,angry
join,angry
judge,angry
jug,angry
juice,angry
keen,angry
keep,angry
keg,angry
kick,angry
kill,angry
king,angry
kite,angry
knock,angry
late,angry
laud,angry
lean,angry
learn,angry
lease,angry
lid,angry
life,angry
limb,angry
live,angry
loaf,angry
long,angry
lore,angry
lose,angry
lot,angry
love,angry
luck,angry
make,angry
match,angry
merge,angry
mess,angry
met,angry
mill,angry
mob,angry
mode,angry
mood,angry
moon,angry
mop,angry
mouse,angry
nag,angry
name,angry
near,angry
neat,angry
nice,angry
note,angry
numb,angry
pad,angry
page,angry
pain,angry
pass,angry
pearl,angry
peg,angry
perch,angry
phone,angry
pick,angry
pike,angry
pole,angry
pool,angry
puff,angry
rag,angry
raid,angry
rain,angry
raise,angry
rat,angry
reach,angry
read,angry
red,angry
ring,angry
ripe,angry
road,angry
room,angry
rose,angry
rot,angry
rough,angry
rush,angry
said,angry
sail,angry
search,angry
seize,angry
sell,angry
shack,angry
shall,angry
shawl,angry
sheep,angry
shirt,angry
should,angry
shout,angry
size,angry
soap,angry
soup,angry
sour,angry
south,angry
sub,angry
such,angry
sure,angry
take,angry
talk,angry
tape,angry
team,angry
tell,angry
thin,angry
third,angry
thought,angry
thumb,angry
time,angry
tip,angry
tire,angry
ton,angry
tool,angry
tough,angry
turn,angry
vine,angry
voice,angry
void,angry
vote,angry
wag,angry
walk,angry
wash,angry
week,angry
wheat,angry
when,angry
which,angry
whip,angry
white,angry
wife,angry
wire,angry
witch,angry
yearn,angry
yes,angry
young,angry
youth,angry
back,disgust
bar,disgust
base,disgust
bath,disgust
bean,disgust
beg,disgust
bite,disgust
boat,disgust
bone,disgust
book,disgust
bought,disgust
burn,disgust
cab,disgust
calm,disgust
came,disgust
cause,disgust
chain,disgust
chair,disgust
chalk,disgust
chat,disgust
check,disgust
cheek,disgust
chief,disgust
choice,disgust
cool,disgust
dab,disgust
date,disgust
dead,disgust
death,disgust
deep,disgust
dime,disgust
dip,disgust
ditch,disgust
dodge,disgust
dog,disgust
doll,disgust
door,disgust
fail,disgust
fall,disgust
far,disgust
fat,disgust
fit,disgust
five,disgust
food,disgust
gap,disgust
gas,disgust
gaze,disgust
germ,disgust
get,disgust
gin,disgust
goal,disgust
good,disgust
goose,disgust
gun,disgust
half,disgust
hall,disgust
hash,disgust
hate,disgust
have,disgust
haze,disgust
hire,disgust
hit,disgust
hole,disgust
home,disgust
hurl,disgust
hush,disgust
jail,disgust
jar,disgust
join,disgust
judge,disgust
jug,disgust
juice,disgust
keen,disgust
keep,disgust
keg,disgust
kick,disgust
kill,disgust
king,disgust
kite,disgust
knock,disgust
late,disgust
laud,disgust
lean,disgust
learn,disgust
lease,disgust
lid,disgust
life,disgust
limb,disgust
live,disgust
loaf,disgust
long,disgust
lore,disgust
lose,disgust
lot,disgust
love,disgust
luck,disgust
make,disgust
match,disgust
merge,disgust
mess,disgust
met,disgust
mill,disgust
mob,disgust
mode,disgust
mood,disgust
moon,disgust
mop,disgust
mouse,disgust
nag,disgust
name,disgust
near,disgust
neat,disgust
nice,disgust
note,disgust
numb,disgust
pad,disgust
page,disgust
pain,disgust
pass,disgust
pearl,disgust
peg,disgust
perch,disgust
phone,disgust
pick,disgust
pike,disgust
pole,disgust
pool,disgust
puff,disgust
rag,disgust
raid,disgust
rain,disgust
raise,disgust
rat,disgust
reach,disgust
read,disgust
red,disgust
ring,disgust
ripe,disgust
road,disgust
room,disgust
rose,disgust
rot,disgust
rough,disgust
rush,disgust
said,disgust
sail,disgust
search,disgust
seize,disgust
sell,disgust
shack,disgust
shall,disgust
shawl,disgust
sheep,disgust
shirt,disgust
should,disgust
shout,disgust
size,disgust
soap,disgust
soup,disgust
sour,disgust
south,disgust
sub,disgust
such,disgust
sure,disgust
take,disgust
talk,disgust
tape,disgust
team,disgust
tell,disgust
thin,disgust
third,disgust
thought,disgust
thumb,disgust
time,disgust
tip,disgust
tire,disgust
ton,disgust
tool,disgust
tough,disgust
turn,disgust
vine,disgust
voice,disgust
void,disgust
vote,disgust
wag,disgust
walk,disgust
wash,disgust
week,disgust
wheat,disgust
when,disgust
which,disgust
whip,disgust
white,disgust
wife,disgust
wire,disgust
witch,disgust
yearn,disgust
yes,disgust
young,disgust
youth,disgust
back,fear
bar,fear
base,fear
bath,fear
bean,fear
beg,fear
bite,fear
boat,fear
bone,fear
book,fear
bought,fear
burn,fear
cab,fear
calm,fear
came,fear
cause,fear
chain,fear
chair,fear
chalk,fear
chat,fear
check,fear
cheek,fear
chief,fear
choice,fear
cool,fear
dab,fear
date,fear
dead,fear
death,fear
deep,fear
dime,fear
dip,fear
ditch,fear
dodge,fear
dog,fear
doll,fear
door,fear
fail,fear
fall,fear
far,fear
fat,fear
fit,fear
five,fear
food,fear
gap,fear
gas,fear
gaze,fear
germ,fear
get,fear
gin,fear
goal,fear
good,fear
goose,fear
gun,fear
half,fear
hall,fear
hash,fear
hate,fear
have,fear
haze,fear
hire,fear
hit,fear
hole,fear
home,fear
hurl,fear
hush,fear
jail,fear
jar,fear
join,fear
judge,fear
jug,fear
juice,fear
keen,fear
keep,fear
keg,fear
kick,fear
kill,fear
king,fear
kite,fear
knock,fear
late,fear
laud,fear
lean,fear
learn,fear
lease,fear
lid,fear
life,fear
limb,fear
live,fear
loaf,fear
long,fear
lore,fear
lose,fear
lot,fear
love,fear
luck,fear
make,fear
match,fear
merge,fear
mess,fear
met,fear
mill,fear
mob,fear
mode,fear
mood,fear
moon,fear
mop,fear
mouse,fear
nag,fear
name,fear
near,fear
neat,fear
nice,fear
note,fear
numb,fear
pad,fear
page,fear
pain,fear
pass,fear
pearl,fear
peg,fear
perch,fear
phone,fear
pick,fear
pike,fear
pole,fear
pool,fear
puff,fear
rag,fear
raid,fear
rain,fear
raise,fear
rat,fear
reach,fear
read,fear
red,fear
ring,fear
ripe,fear
road,fear
room,fear
rose,fear
rot,fear
rough,fear
rush,fear
said,fear
sail,fear
search,fear
seize,fear
sell,fear
shack,fear
shall,fear
shawl,fear
sheep,fear
shirt,fear
should,fear
shout,fear
size,fear
soap,fear
soup,fear
sour,fear
south,fear
sub,fear
such,fear
sure,fear
take,fear
talk,fear
tape,fear
team,fear
tell,fear
thin,fear
third,fear
thought,fear
thumb,fear
time,fear
tip,fear
tire,fear
ton,fear
tool,fear
tough,fear
turn,fear
vine,fear
voice,fear
void,fear
vote,fear
wag,fear
walk,fear
wash,fear
week,fear
wheat,fear
when,fear
which,fear
whip,fear
white,fear
wife,fear
wire,fear
witch,fear
yearn,fear
yes,fear
young,fear
youth,fear
back,happy
bar,happy
base,happy
bath,happy
bean,happy
beg,happy
bite,happy
boat,happy
bone,happy
book,happy
bought,happy
burn,happy
cab,happy
calm,happy
came,happy
cause,happy
chain,happy
chair,happy
chalk,happy
chat,happy
check,happy
cheek,happy
chief,happy
choice,happy
cool,happy
dab,happy
date,happy
dead,happy
