text,emotion
I am very happy today,happy
This is amazing,happy
I got my dream job,happy
I feel wonderful,happy
Life is beautiful,happy
I am smiling a lot,happy
I feel so sad,sad
I am crying badly,sad
I lost my friend,sad
I feel depressed,sad
Everything hurts,sad
I feel lonely,sad
Why are you shouting,angry
I am extremely angry,angry
This makes me furious,angry
I hate this situation,angry
Stop irritating me,angry
I am very upset,angry
I am scared,fear
This is frightening,fear
I am terrified,fear
I fear the dark,fear
Something dangerous is coming,fear
I feel nervous,fear
Wow this is surprising,surprise
I cannot believe this,surprise
This shocked me,surprise
What an unexpected moment,surprise
This is unbelievable,surprise
I am astonished,surprise
Everything is normal,neutral
I am going to school,neutral
Today is Monday,neutral
I am sitting quietly,neutral
The weather is fine,neutral
I am reading a book,neutral
